Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,1995,4,0,6,0,6,0,1.5,3.0,0,0,0.0,0.0,3007.518797,2005.012531,665.0,1148.350121,1991,1,1995,665.0,1148.350121,1991,1,0,0.0,0.0,0,0,0,0,0,0,116,0,2005.012531,0.0,0,6,1.2,2.683281573,7.2,0,0,0,0,1,0,0,0,0,1.5,1.5,0.0,116,0,0,0,0,0,0,4,6,0,0,251,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
80,94636,3,2,432,112,426,0,144.0,244.2375892446,110,2,56.0,76.3675323681,5748.3410118771,52.8340166533,23659.0,16216.2262975494,36954,23,65885,32942.5,5673.1177054597,36954,28931,65728,65728.0,0.0,65728,65728,0,0,0,0,72,44,31.700409992,21.1336066613,0,426,90.6666666667,169.878387874,28858.6666666667,0,0,0,1,0,0,0,0,0,108.8,144.0,56.0,72,0,0,0,0,0,0,3,432,2,112,8192,16384,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,8259779,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.905646749,0.484274458,2753259.667,4767871.135,8258723,3,8259779,2753259.667,4767871.135,8258723,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.484274458,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1056.0,0.0,1056,1056,8258723.0,0.0,8258723,8258723,DDoS
80,101814649,11,8,2095,11595,419,0,190.4545455,218.8156135,5792,0,1449.375,1894.680443,134.4600225,0.186613618,5656369.389,23600000.0,100000000,0,102000000,10200000.0,31600000.0,100000000,0,1709324,244189.1429,645177.1273,1707313,45,0,0,0,0,360,264,0.108039463,0.078574155,0,5792,684.5,1326.673739,1760063.211,0,0,0,0,1,0,0,0,0,720.5263158,190.4545455,1449.375,360,0,0,0,0,0,0,11,2095,8,11595,251,235,5,32,2.0,0.0,2,2,100000000.0,0.0,100000000,100000000,DoS Hulk
12000,45,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,177777.7778,44444.44444,45.0,0.0,45,45,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,22222.22222,22222.22222,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
60020,20,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,400000.0,100000.0,20.0,0.0,20,20,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,50000.0,50000.0,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
53,180142,1,1,42,133,42,42,42.0,0.0,133,133,133.0,0.0,971.4558515,11.10235259,180142.0,0.0,180142,180142,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,5.551176294,5.551176294,42,133,72.33333333,52.5388745,2760.333333,0,0,0,0,0,0,0,0,1,108.5,42.0,133.0,20,0,0,0,0,0,0,1,42,1,133,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
5087,32,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,187500.0,62500.0,32.0,0.0,32,32,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,31250.0,31250.0,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,34985863,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.057165947,35000000.0,0.0,35000000,35000000,35000000,35000000.0,0.0,35000000,35000000,0,0.0,0.0,0,0,0,0,0,0,64,0,0.057165947,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,410,-1,0,32,0.0,0.0,0,0,35000000.0,0.0,35000000,35000000,DoS GoldenEye
1156,114,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,105263.1579,17543.85965,114.0,0.0,114,114,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,8771.929825,8771.929825,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,127,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,132897,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,87533.95487,67.721619,16612.125,46670.49444,132115,3,648,324.0,255.9726548,505,143,132888,26577.6,58997.94806,132115,3,0,0,0,0,72,132,22.573873,45.147746,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
64313,3,2,0,37,0,37,0,18.5,26.1629509039,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.666666667,0.0,0,37,24.6666666667,21.36195996,456.3333333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,1120,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
60300,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,390,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,1132867,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,10268.63701,6.17901307,188811.1667,461997.7431,1131860,35,725,362.5,436.284884,671,54,1132832,377610.6667,653199.1496,1131860,192,0,0,0,0,72,92,2.648148459,3.530864612,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,62258,2,2,116,458,58,58,58.0,0.0,229,229,229.0,0.0,9219.6986732629,64.2487712423,20752.6666666667,35938.6108848594,62251,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,88,64,32.1243856211,32.1243856211,58,229,126.4,93.6605573334,8772.3,0,0,0,0,0,0,0,0,1,158.0,58.0,229.0,88,0,0,0,0,0,0,2,116,2,458,-1,-1,1,44,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,3929501,5,1,123,46,46,0,24.6,23.2765976895,46,46,46.0,0.0,43.0080053422,1.5269114323,785900.2,1727954.83055163,3876844,19,3929501,982375.25,1929703.62941832,3876844,19,0,0.0,0.0,0,0,1,0,0,0,160,32,1.2724261936,0.2544852387,0,46,30.7142857143,21.6849739506,470.2380952381,0,1,0,0,1,0,0,0,0,35.8333333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,310,349,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
47025,50,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,240000.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20000.0,20000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,33,260,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1011,30,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,266666.6667,66666.66667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,33333.33333,33333.33333,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
5859,38,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,210526.3158,52631.57895,38.0,0.0,38,38,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,26315.78947,26315.78947,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,85944876,7,6,371,11595,371,0,53.0,140.2248195,5792,0,1932.5,2537.820147,139.2287773,0.151259745,7162073.0,24500000.0,84900000,3,85900000,14300000.0,34600000.0,84900000,237,1802,360.4,675.1109538,1565,3,0,0,0,0,240,200,0.081447555,0.06981219,0,5792,854.7142857,1850.574191,3424624.835,0,0,0,0,1,0,0,0,0,920.4615385,53.0,1932.5,240,0,0,0,0,0,0,7,371,6,11595,274,235,1,32,487.0,0.0,487,487,84900000.0,0.0,84900000,84900000,DoS Hulk
443,5302247,9,5,371,3396,178,0,41.22222222,73.82035251,1690,0,679.2,823.5297202,710.4535115,2.640390008,407865.1538,1352875.234,4907683,3,5302247,662780.875,1716344.763,4907683,3,242679,60669.75,68823.2765,126254,209,0,0,0,0,296,168,1.697393577,0.942996432,0,1690,251.1333333,543.2861475,295159.8381,0,0,0,1,0,0,0,0,0,269.0714286,41.22222222,679.2,296,0,0,0,0,0,0,9,371,5,3396,29200,243,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31012,2,2,80,294,40,40,40.0,0.0,147,147,147.0,0.0,12059.8478,128.9823294,10337.33333,17899.5904,31006,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,64.49116471,64.49116471,40,147,82.8,58.60631365,3434.7,0,0,0,0,0,0,0,0,1,103.5,40.0,147.0,40,0,0,0,0,0,0,2,80,2,294,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,1960011,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,15.30603655,2.551006091,490002.75,980003.5,1960008,1,1960011,490002.75,980003.5,1960008,1,0,0.0,0.0,0,0,0,0,0,0,100,0,2.551006091,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
22417,1940,2,1,264,6,258,6,132.0,178.1909089,6,6,6.0,0.0,139175.2577,1546.391753,970.0,1261.478498,1862,78,1940,1940.0,0.0,1940,1940,0,0.0,0.0,0,0,1,0,0,0,40,20,1030.927835,515.4639175,6,258,132.0,145.4922678,21168.0,0,1,0,0,1,0,0,0,0,176.0,132.0,6.0,40,0,0,0,0,0,0,2,264,1,6,31,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
55791,68361,2,1,280,6,274,6,140.0,189.5046174,6,6,6.0,0.0,4183.671977,43.88467108,34180.5,48248.017,68297,64,68361,68361.0,0.0,68361,68361,0,0.0,0.0,0,0,1,0,0,0,40,20,29.25644739,14.62822369,6,274,140.0,154.7298721,23941.33333,0,1,0,0,1,0,0,0,0,186.6666667,140.0,6.0,40,0,0,0,0,0,0,2,280,1,6,60,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,53107,1,1,45,87,45,45,45.0,0.0,87,87,87.0,0.0,2485.548045,37.65981886,53107.0,0.0,53107,53107,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,18.82990943,18.82990943,45,87,59.0,24.24871131,588.0,0,0,0,0,0,0,0,0,1,88.5,45.0,87.0,20,0,0,0,0,0,0,1,45,1,87,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,922392,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,12611.7746,8.673102108,131770.2857,348092.6354,921170,5,927,463.5,487.1965722,808,119,922303,230575.75,460396.3423,921170,5,0,0,0,0,72,112,3.252413291,5.420688818,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,369613,3,5,26,11607,20,0,8.666666667,10.26320288,7300,0,2321.4,3346.363967,31473.46008,21.64426035,52801.85714,139266.4578,368628,3,747,373.5,523.9661249,744,3,369568,92392.0,184157.5961,368628,10,0,0,0,0,72,112,8.11659763,13.52766272,0,7300,1292.555556,2662.264877,7087654.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
8400,31,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,258064.5161,64516.12903,31.0,0.0,31,31,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,32258.06452,32258.06452,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
443,116521168,22,18,1668,2436,712,0,75.81818182,190.1552339,1418,0,135.3333333,349.3184962,35.22106816,0.343285265,2987722.256,4531485.855,10000000,1,117000000,5548627.048,4948076.808,10100000,1,111000000,6549800.765,4883998.861,10100000,4,0,0,0,0,712,584,0.188806896,0.154478369,0,1418,100.097561,268.2849982,71976.84024,0,0,0,1,0,0,0,0,0,102.6,75.81818182,135.3333333,712,0,0,0,0,0,0,22,1668,18,2436,29200,360,5,32,109017.25,249974.7748,902793,36635,9601080.0,1405695.343,10000000,5137647,BENIGN
80,61082315,11,11,426,684,378,0,38.72727273,112.5496254,336,0,62.18181818,135.4000134,18.17219927,0.360169715,2908681.667,4568833.822,9995995,19,60300000,6034014.7,5117217.932,10000000,138,61000000,6103148.9,5041453.272,10000000,6378,0,0,0,0,244,304,0.180084858,0.180084858,0,378,48.26086957,119.7471645,14339.3834,0,0,0,1,0,0,0,0,1,50.45454545,38.72727273,62.18181818,244,0,0,0,0,0,0,11,426,11,684,8192,110,9,20,102119.8333,125912.3085,359137,50448,9954571.333,100806.624,9995995,9748801,BENIGN
61086,58,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,34482.75862,58.0,0.0,58,58,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,17241.37931,17241.37931,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,353,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,359,3,0,58,0,46,6,19.33333333,23.09401077,0,0,0.0,0.0,161559.8886,8356.545961,179.5,4.949747468,183,176,359,179.5,4.949747468,183,176,0,0.0,0.0,0,0,0,0,0,0,60,0,8356.545961,0.0,6,46,16.0,20.0,400.0,0,0,0,0,1,0,0,0,0,21.33333333,19.33333333,0.0,60,0,0,0,0,0,0,3,58,0,0,252,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,99381693,7,6,376,11595,370,0,53.71428571,139.4868145,5792,0,1932.5,2181.008184,120.4547803,0.1308088,8281807.75,28600000.0,99200000,1,99200000,16500000.0,40500000.0,99200000,1,149425,29885.0,60178.30083,137140,48,0,0,0,0,220,200,0.070435508,0.060373292,0,5792,855.0714286,1666.230128,2776322.841,0,0,0,0,1,0,0,0,0,920.8461538,53.71428571,1932.5,220,0,0,0,0,0,0,7,376,6,11595,274,235,2,20,1032.0,0.0,1032,1032,99200000.0,0.0,99200000,99200000,DoS Hulk
53,147098,4,2,132,246,33,33,33.0,0.0,123,123,123.0,0.0,2569.715428,40.78913377,29419.6,50629.41553,116923,3,30171,10057.0,17414.03882,30165,3,4,4.0,0.0,4,4,0,0,0,0,80,40,27.19275585,13.59637792,33,123,58.71428571,43.91550328,1928.571429,0,0,0,0,0,0,0,0,0,68.5,33.0,123.0,80,0,0,0,0,0,0,4,132,2,246,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
617,92,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,173913.0435,43478.26087,30.66666667,48.80915215,87,1,4,4.0,0.0,4,4,1,1.0,0.0,1,1,0,0,0,0,48,40,21739.13043,21739.13043,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1053,25,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,320000.0,80000.0,25.0,0.0,25,25,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,40000.0,40000.0,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,8539800,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.810370266,0.468395044,2846600.0,4929587.231,8538797,3,8539800,2846600.0,4929587.231,8538797,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.468395044,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1003.0,0.0,1003,1003,8538797.0,0.0,8538797,8538797,DDoS
89,52,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,307692.3077,76923.07692,17.33333333,26.57693235,48,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,48,40,38461.53846,38461.53846,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,117155366,7,7,768,11595,375,0,109.7142857,181.2445073,5792,0,1656.428571,1947.638216,105.5265364,0.119499435,9011951.231,32400000.0,117000000,2,117000000,19500000.0,47700000.0,117000000,2,354553,59092.16667,94631.89774,216047,36,0,0,0,0,196,232,0.059749717,0.059749717,0,5792,824.6,1512.990737,2289140.971,1,0,0,0,0,0,0,0,1,883.5,109.7142857,1656.428571,196,0,0,0,0,0,0,7,768,7,11595,0,235,4,20,10974.0,0.0,10974,10974,117000000.0,0.0,117000000,117000000,DoS Hulk
80,22026,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,527876.1464,363.2071189,3146.571429,7363.184634,19816,6,20034,10017.0,14157.69197,20028,6,21814,5453.5,9795.366949,20125,186,0,0,0,0,72,112,136.2026696,227.0044493,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
